platform,release_date,game_name,db_name,year
PC,"Aug 11, 2003",Madden NFL 2004,Madden NFL 2004,2003.0
PS2,"Aug 11, 2003",Madden NFL 2004,Madden NFL 2004,2003.0
XB,"Aug 11, 2003",Madden NFL 2004,Madden NFL 2004,2003.0
GC,"Aug 11, 2003",Madden NFL 2004,Madden NFL 2004,2003.0
PC,"Nov 04, 2003",FIFA Soccer 2004,FIFA Soccer 2004,2003.0
PS2,"Nov 07, 2003",FIFA Soccer 2004,FIFA Soccer 2004,2003.0
XB,"Oct 24, 2003",FIFA Soccer 2004,FIFA Soccer 2004,2003.0
GC,"Oct 24, 2003",FIFA Soccer 2004,FIFA Soccer 2004,2003.0
Wii,"Sep 23, 2008",LEGO Batman: The Videogame,LEGO Batman: The Videogame,2008.0
PS2,"Sep 23, 2008",LEGO Batman: The Videogame,LEGO Batman: The Videogame,2008.0
PS2,"Nov 11, 2005",WWE SmackDown! vs. Raw 2006,wwe Smackdown vs. Raw 2006,2005.0
PSP,"Nov 14, 2005",WWE SmackDown! vs. Raw 2006,wwe Smackdown vs. Raw 2006,2005.0
2600,TBD,Space Invaders,Space Invaders,
Wii,"Nov 20, 2007",Rock Band,Rock Band,2007.0
PS2,"Dec 17, 2007",Rock Band,Rock Band,2007.0
PS3,"Jun 22, 2008",Rock Band,Rock Band,2008.0
X360,"Nov 20, 2007",Rock Band,Rock Band,2007.0
GBA,"Nov 30, 2001",Frogger's Adventures: Temple of the Frog,Frogger's Adventures: Temple of the Frog,2001.0
Wii,"Jun 03, 2008",LEGO Indiana Jones: The Original Adventures,LEGO Indiana Jones: The Original Adventures,2008.0
PC,"Jun 03, 2008",LEGO Indiana Jones: The Original Adventures,LEGO Indiana Jones: The Original Adventures,2008.0
PS2,"Jun 03, 2008",LEGO Indiana Jones: The Original Adventures,LEGO Indiana Jones: The Original Adventures,2008.0
PS3,"Jun 03, 2008",LEGO Indiana Jones: The Original Adventures,LEGO Indiana Jones: The Original Adventures,2008.0
X360,"Jun 03, 2008",LEGO Indiana Jones: The Original Adventures,LEGO Indiana Jones: The Original Adventures,2008.0
PSP,"Jun 06, 2008",LEGO Indiana Jones: The Original Adventures,LEGO Indiana Jones: The Original Adventures,2008.0
Wii,"Nov 07, 2006",Call of Duty 3,Call of Duty 3,2006.0
PS2,"Nov 07, 2006",Call of Duty 3,Call of Duty 3,2006.0
PS3,"Nov 07, 2006",Call of Duty 3,Call of Duty 3,2006.0
XB,"Nov 14, 2006",Call of Duty 3,Call of Duty 3,2006.0
X360,"Nov 14, 2006",Call of Duty 3,Call of Duty 3,2006.0
Wii,"Nov 20, 2007",Rock Band,Rock Band,2007.0
PS2,"Dec 17, 2007",Rock Band,Rock Band,2007.0
PS3,"Jun 22, 2008",Rock Band,Rock Band,2008.0
X360,"Nov 20, 2007",Rock Band,Rock Band,2007.0
Wii,"Nov 09, 2010",Call of Duty: Black Ops,Call of Duty: Black Ops,2010.0
PC,"Nov 09, 2010",Call of Duty: Black Ops,Call of Duty: Black Ops,2010.0
PS3,"Nov 18, 2010",Call of Duty: Black Ops,Call of Duty: Black Ops,2010.0
X360,"Nov 09, 2010",Call of Duty: Black Ops,Call of Duty: Black Ops,2010.0
DS,"Sep 01, 2011",Call of Duty: Black Ops,Call of Duty: Black Ops,2011.0
Wii,"Nov 20, 2007",Rock Band,Rock Band,2007.0
PS2,"Dec 17, 2007",Rock Band,Rock Band,2007.0
PS3,"Jun 22, 2008",Rock Band,Rock Band,2008.0
X360,"Nov 20, 2007",Rock Band,Rock Band,2007.0
PC,"Mar 28, 1998",Triple Play 99,Triple Play 99,1998.0
PS,TBD,Triple Play 99,Triple Play 99,
2600,Dec 1979,Adventure,Adventure,1979.0
PSP,"Sep 23, 2008",LEGO Batman: The Videogame,LEGO Batman: The Videogame,2008.0
2600,1982,Combat Two,Combat,1982.0
Wii,"Mar 09, 2012",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012.0
PC,"Mar 06, 2012",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012.0
PS3,"Nov 11, 2011",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2011.0
X360,"Mar 22, 2012",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012.0
PSP,"Mar 06, 2012",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012.0
PSV,"Nov 11, 2011",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2011.0
PC,"Sep 19, 2002",NASCAR Thunder 2003,NASCAR Thunder 2003,2002.0
PS2,"Sep 19, 2002",NASCAR Thunder 2003,NASCAR Thunder 2003,2002.0
XB,"Sep 29, 2002",NASCAR Thunder 2003,NASCAR Thunder 2003,2002.0
GC,"Oct 16, 2002",NASCAR Thunder 2003,NASCAR Thunder 2003,2002.0
PC,"Oct 01, 2002",Hitman 2: Silent Assassin,Hitman 2: Silent Assassin,2002.0
PS2,"Oct 01, 2002",Hitman 2: Silent Assassin,Hitman 2: Silent Assassin,2002.0
XB,"Sep 30, 2002",Hitman 2: Silent Assassin,Hitman 2: Silent Assassin,2002.0
GC,"Jun 19, 2003",Hitman 2: Silent Assassin,Hitman 2: Silent Assassin,2003.0
Wii,"Nov 20, 2007",Rock Band,Rock Band,2007.0
PS2,"Dec 17, 2007",Rock Band,Rock Band,2007.0
PS3,"Jun 22, 2008",Rock Band,Rock Band,2008.0
X360,"Nov 20, 2007",Rock Band,Rock Band,2007.0
PC,"Jan 27, 2007",Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver,2007.0
PS,"Sep 08, 1999",Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver,1999.0
PS3,"Aug 16, 1999",Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver,1999.0
PSP,1999,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver,1999.0
GB,"Feb 26, 2015",Donkey Kong Land III,Donkey Kong Land III,2015.0
3DS,"Oct 01, 1997",Donkey Kong Land III,Donkey Kong Land III,1997.0
PC,"Jun 16, 2010",Air-Sea Battle,Air-Sea Battle,2010.0
2600,"Sep 11, 1977",Air-Sea Battle,Air-Sea Battle,1977.0
PS2,"Jul 11, 2002",Suikoden III,Suikoden III,2002.0
PS3,"Oct 22, 2002",Suikoden III,Suikoden III,2002.0
Wii,"Mar 09, 2012",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012.0
PC,"Mar 06, 2012",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012.0
PS3,"Nov 11, 2011",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2011.0
X360,"Mar 22, 2012",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012.0
PSP,"Mar 06, 2012",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012.0
PSV,"Nov 11, 2011",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2011.0
PS2,"Nov 12, 2003",Wheel of Fortune 2003,Wheel of Fortune,2003.0
PS3,"Mar 08, 2010",Yakuza 4,Yakuza 4,2010.0
Wii,"Mar 09, 2012",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012.0
PC,"Mar 06, 2012",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012.0
PS3,"Nov 11, 2011",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2011.0
X360,"Mar 22, 2012",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012.0
PSP,"Mar 06, 2012",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012.0
PSV,"Nov 11, 2011",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2011.0
PC,"Aug 30, 2005",Namco Museum 50th Anniversary,Namco Museum,2005.0
PS2,"May 05, 2006",Namco Museum 50th Anniversary,Namco Museum,2006.0
XB,"Aug 30, 2005",Namco Museum 50th Anniversary,Namco Museum,2005.0
GC,"Mar 31, 2006",Namco Museum 50th Anniversary,Namco Museum,2006.0
Wii,"Jul 21, 2011",Rhythm Heaven Fever,Rhythm Heaven,2011.0
PC,"Nov 01, 2011",The Lord of the Rings: War in the North,The Lord of the Rings: War in the North,2011.0
PS3,"Nov 01, 2011",The Lord of the Rings: War in the North,The Lord of the Rings: War in the North,2011.0
X360,"Nov 01, 2011",The Lord of the Rings: War in the North,The Lord of the Rings: War in the North,2011.0
PSP,"Aug 22, 2006",Madden NFL 07,Madden NFL 07,2006.0
PC,"Nov 01, 2011",The Lord of the Rings: War in the North,The Lord of the Rings: War in the North,2011.0
PS3,"Nov 01, 2011",The Lord of the Rings: War in the North,The Lord of the Rings: War in the North,2011.0
X360,"Nov 01, 2011",The Lord of the Rings: War in the North,The Lord of the Rings: War in the North,2011.0
Wii,"Nov 16, 2008",Shaun White Snowboarding,Shaun White Snowboarding,2008.0
PC,"Nov 16, 2008",Shaun White Snowboarding,Shaun White Snowboarding,2008.0
PS2,"Nov 16, 2008",Shaun White Snowboarding,Shaun White Snowboarding,2008.0
PS3,"Nov 16, 2008",Shaun White Snowboarding,Shaun White Snowboarding,2008.0
X360,"Nov 16, 2008",Shaun White Snowboarding,Shaun White Snowboarding,2008.0
DS,"Nov 16, 2008",Shaun White Snowboarding,Shaun White Snowboarding,2008.0
PSP,"Nov 16, 2008",Shaun White Snowboarding,Shaun White Snowboarding,2008.0
GBA,"Oct 14, 2004",WarioWare: Twisted!,WarioWare: Twisted!,2004.0
Wii,"Aug 10, 2010",Madden NFL 11,Madden NFL 11,2010.0
PC,"Feb 08, 2011",Test Drive Unlimited 2,Test Drive Unlimited 2,2011.0
PS3,"Feb 08, 2011",Test Drive Unlimited 2,Test Drive Unlimited 2,2011.0
X360,"Feb 10, 2011",Test Drive Unlimited 2,Test Drive Unlimited 2,2011.0
GBA,"Nov 14, 2005","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",2005.0
DS,"Nov 18, 2011",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2011.0
3DS,"Nov 18, 2011",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2011.0
PS2,"Feb 16, 2006",Monster Hunter 2,Monster Hunter 2,2006.0
PC,"Nov 04, 2002",Metal Gear Solid 2: Substance,Metal Gear Solid 2: Substance,2002.0
PS2,"Mar 07, 2003",Metal Gear Solid 2: Substance,Metal Gear Solid 2: Substance,2003.0
XB,"Dec 19, 2002",Metal Gear Solid 2: Substance,Metal Gear Solid 2: Substance,2002.0
PC,"Feb 08, 2011",Test Drive Unlimited 2,Test Drive Unlimited 2,2011.0
PS3,"Feb 08, 2011",Test Drive Unlimited 2,Test Drive Unlimited 2,2011.0
X360,"Feb 10, 2011",Test Drive Unlimited 2,Test Drive Unlimited 2,2011.0
DS,"Jan 21, 2008",Advance Wars: Days of Ruin,Advance Wars: Days of Ruin,2008.0
Wii,"Nov 30, 2007",The Golden Compass,The Golden Compass,2007.0
PC,"Nov 30, 2007",The Golden Compass,The Golden Compass,2007.0
PS2,"Nov 30, 2007",The Golden Compass,The Golden Compass,2007.0
PS3,"Nov 30, 2007",The Golden Compass,The Golden Compass,2007.0
X360,"Nov 30, 2007",The Golden Compass,The Golden Compass,2007.0
DS,"Nov 30, 2007",The Golden Compass,The Golden Compass,2007.0
PSP,"Nov 30, 2007",The Golden Compass,The Golden Compass,2007.0
X360,"Aug 08, 2005",Madden NFL 06,Madden NFL 06,2005.0
PS2,"Nov 11, 2002",NASCAR: Dirt to Daytona,NASCAR: Dirt to Daytona,2002.0
GC,"Nov 27, 2002",NASCAR: Dirt to Daytona,NASCAR: Dirt to Daytona,2002.0
PC,"Sep 12, 2001",Madden NFL 2002,Madden NFL 2002,2001.0
PS2,"Sep 12, 2001",Madden NFL 2002,Madden NFL 2002,2001.0
XB,"Sep 12, 2001",Madden NFL 2002,Madden NFL 2002,2001.0
GC,"Sep 12, 2001",Madden NFL 2002,Madden NFL 2002,2001.0
PS2,"Sep 20, 2004",Def Jam: Fight for NY,Def Jam: Fight for NY,2004.0
XB,"Sep 20, 2004",Def Jam: Fight for NY,Def Jam: Fight for NY,2004.0
GC,"Sep 20, 2004",Def Jam: Fight for NY,Def Jam: Fight for NY,2004.0
PS2,"Apr 28, 2003",NBA Street Vol. 2,NBA Street Vol. 2,2003.0
XB,"Apr 28, 2003",NBA Street Vol. 2,NBA Street Vol. 2,2003.0
GC,"Apr 28, 2003",NBA Street Vol. 2,NBA Street Vol. 2,2003.0
2600,1980,Fishing Derby,Fishing Derby,1980.0
PS3,"Sep 15, 2009",Wet,Wet,2009.0
X360,"Sep 18, 2009",Wet,Wet,2009.0
PS3,"Nov 14, 2006",Sonic the Hedgehog,Sonic the Hedgehog,2006.0
X360,"Nov 24, 2006",Sonic the Hedgehog,Sonic the Hedgehog,2006.0
2600,Q4 1982,Karate,Karate,1982.0
Wii,"Mar 13, 2007",Tiger Woods PGA Tour 07,Tiger Woods PGA Tour 07,2007.0
PC,"Oct 10, 2006",Tiger Woods PGA Tour 07,Tiger Woods PGA Tour 07,2006.0
PS2,"Oct 10, 2006",Tiger Woods PGA Tour 07,Tiger Woods PGA Tour 07,2006.0
PS3,"Oct 10, 2006",Tiger Woods PGA Tour 07,Tiger Woods PGA Tour 07,2006.0
XB,"Oct 10, 2006",Tiger Woods PGA Tour 07,Tiger Woods PGA Tour 07,2006.0
X360,"Oct 17, 2006",Tiger Woods PGA Tour 07,Tiger Woods PGA Tour 07,2006.0
PSP,"Nov 21, 2006",Tiger Woods PGA Tour 07,Tiger Woods PGA Tour 07,2006.0
2600,1980,Circus Atari,Circus Atari,1980.0
PC,"Jun 01, 2004",The Chronicles of Riddick: Escape from Butcher Bay,The Chronicles of Riddick: Escape from Butcher Bay,2004.0
PS3,"Aug 13, 2004",The Chronicles of Riddick: Escape from Butcher Bay,The Chronicles of Riddick: Escape from Butcher Bay,2004.0
XB,"Jul 22, 2004",The Chronicles of Riddick: Escape from Butcher Bay,The Chronicles of Riddick: Escape from Butcher Bay,2004.0
X360,"Dec 03, 2004",The Chronicles of Riddick: Escape from Butcher Bay,The Chronicles of Riddick: Escape from Butcher Bay,2004.0
2600,1978,Maze Craze: A Game of Cops 'n Robbers,Maze Craze: A Game of Cops 'n Robbers,1978.0
PC,"Sep 30, 2008",Silent Hill: Homecoming,Silent Hill: Homecoming,2008.0
PS3,"Feb 27, 2009",Silent Hill: Homecoming,Silent Hill: Homecoming,2009.0
X360,"Sep 30, 2008",Silent Hill: Homecoming,Silent Hill: Homecoming,2008.0
2600,1981,Super Breakout,Super Breakout,1981.0
PS3,"Jun 03, 2008",Robert Ludlum's: The Bourne Conspiracy,Robert Ludlum's The Bourne Conspiracy,2008.0
X360,"Jun 03, 2008",Robert Ludlum's: The Bourne Conspiracy,Robert Ludlum's The Bourne Conspiracy,2008.0
Wii,"Sep 07, 2010",NHL Slapshot,NHL Slapshot,2010.0
PC,"May 01, 2012",Tera,TERA,2012.0
DS,"Nov 18, 2011",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2011.0
3DS,"Nov 18, 2011",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2011.0
PS2,"Jul 05, 2001",Harvest Moon: Save the Homeland,Harvest Moon: Save the Homeland,2001.0
PS3,"Nov 01, 2011",Harvest Moon: Save the Homeland,Harvest Moon: Save the Homeland,2011.0
PS3,"Jun 03, 2008",Robert Ludlum's: The Bourne Conspiracy,Robert Ludlum's The Bourne Conspiracy,2008.0
X360,"Jun 03, 2008",Robert Ludlum's: The Bourne Conspiracy,Robert Ludlum's The Bourne Conspiracy,2008.0
PC,"Sep 30, 2008",Silent Hill: Homecoming,Silent Hill: Homecoming,2008.0
PS3,"Feb 27, 2009",Silent Hill: Homecoming,Silent Hill: Homecoming,2009.0
X360,"Sep 30, 2008",Silent Hill: Homecoming,Silent Hill: Homecoming,2008.0
2600,1978,Hangman,Hangman,1978.0
Wii,"Nov 30, 2007",The Golden Compass,The Golden Compass,2007.0
PC,"Nov 30, 2007",The Golden Compass,The Golden Compass,2007.0
PS2,"Nov 30, 2007",The Golden Compass,The Golden Compass,2007.0
PS3,"Nov 30, 2007",The Golden Compass,The Golden Compass,2007.0
X360,"Nov 30, 2007",The Golden Compass,The Golden Compass,2007.0
DS,"Nov 30, 2007",The Golden Compass,The Golden Compass,2007.0
PSP,"Nov 30, 2007",The Golden Compass,The Golden Compass,2007.0
PC,"Oct 07, 2002",NBA Live 2003,NBA Live 2003,2002.0
PS,"Oct 07, 2002",NBA Live 2003,NBA Live 2003,2002.0
PS2,"Oct 07, 2002",NBA Live 2003,NBA Live 2003,2002.0
XB,"Oct 07, 2002",NBA Live 2003,NBA Live 2003,2002.0
GC,"Oct 07, 2002",NBA Live 2003,NBA Live 2003,2002.0
GBA,"Jul 24, 2002",Cubix: Robots for Everyone - Clash 'n Bash,Cubix Robots for Everyone: Clash 'n' Bash,2002.0
PC,"Aug 26, 2011",Tropico 4,Tropico 4,2011.0
X360,"Oct 21, 2011",Tropico 4,Tropico 4,2011.0
PC,2012,Bejeweled 3,Bejeweled 3,2012.0
PS3,"Nov 15, 2011",Bejeweled 3,Bejeweled 3,2011.0
X360,"Oct 19, 2011",Bejeweled 3,Bejeweled 3,2011.0
DS,"Nov 15, 2011",Bejeweled 3,Bejeweled 3,2011.0
N64,TBD,Custom Robo,Custom Robo,
PC,"Nov 07, 2002",Final Fantasy XI Online,Final Fantasy XI,2002.0
PS2,"Oct 28, 2003",Final Fantasy XI Online,Final Fantasy XI,2003.0
X360,"Sep 17, 2004",Final Fantasy XI Online,Final Fantasy XI,2004.0
PC,"Jun 25, 2010",Singularity,Singularity,2010.0
PS3,"Jul 01, 2010",Singularity,Singularity,2010.0
X360,"Jun 25, 2010",Singularity,Singularity,2010.0
2600,"Feb 01, 1980",Dragster,Dragster,1980.0
PS2,"Apr 08, 2004",All-Star Baseball 2005,All-Star Baseball 2005,2004.0
XB,"Mar 23, 2004",All-Star Baseball 2005,All-Star Baseball 2005,2004.0
PC,"Nov 19, 2002",Star Wars: Jedi Knight II - Jedi Outcast,Star Wars Jedi Knight II: Jedi Outcast,2002.0
XB,"Nov 19, 2002",Star Wars: Jedi Knight II - Jedi Outcast,Star Wars Jedi Knight II: Jedi Outcast,2002.0
GC,"Mar 26, 2002",Star Wars: Jedi Knight II - Jedi Outcast,Star Wars Jedi Knight II: Jedi Outcast,2002.0
2600,1979,Slot Machine,Slot Machine,1979.0
PS,"Dec 07, 2000",The Dukes of Hazzard II: Daisy Dukes it Out,The Dukes of Hazzard II: Daisy Dukes It Out,2000.0
DS,"Jul 08, 2010",Harvest Moon: The Tale of Two Towns,Harvest Moon: The Tale of Two Towns,2010.0
3DS,"Sep 20, 2011",Harvest Moon: The Tale of Two Towns,Harvest Moon: The Tale of Two Towns,2011.0
PC,"Oct 07, 2002",NBA Live 2003,NBA Live 2003,2002.0
PS,"Oct 07, 2002",NBA Live 2003,NBA Live 2003,2002.0
PS2,"Oct 07, 2002",NBA Live 2003,NBA Live 2003,2002.0
XB,"Oct 07, 2002",NBA Live 2003,NBA Live 2003,2002.0
GC,"Oct 07, 2002",NBA Live 2003,NBA Live 2003,2002.0
DS,"May 15, 2007",Shrek the Third,Shrek the Third,2007.0
GBA,"May 08, 2007",Shrek the Third,Shrek the Third,2007.0
PS2,"Oct 24, 2006",Nicktoons: Battle for Volcano Island,Nicktoons: Battle for Volcano Island,2006.0
GC,"Oct 24, 2006",Nicktoons: Battle for Volcano Island,Nicktoons: Battle for Volcano Island,2006.0
PS2,"Nov 18, 2002",Haven: Call of the King,Haven: Call of the King,2002.0
XB,"Nov 22, 2002",Haven: Call of the King,Haven: Call of the King,2002.0
GC,TBD,Haven: Call of the King,Haven: Call of the King,
XB,"Apr 18, 2005",Unreal Championship 2: The Liandri Conflict,Unreal Championship 2: The Liandri Conflict,2005.0
PC,"Nov 14, 2005","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",2005.0
PS2,"Nov 14, 2005","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",2005.0
XB,"Nov 14, 2005","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",2005.0
DS,"Nov 14, 2005","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",2005.0
PS2,"Sep 03, 2002",Pac-Man Fever,Pac-Man Fever,2002.0
GC,"Sep 03, 2002",Pac-Man Fever,Pac-Man Fever,2002.0
2600,1977,Indy 500,Indy 500,1977.0
PSV,"Apr 20, 2012",Disgaea 3: Absence of Detention,Disgaea 3: Absence of Detention,2012.0
2600,1978,Flag Capture,Flag Capture,1978.0
X360,"Nov 16, 2005",Gun,Gun,2005.0
Wii,"Oct 15, 2008",Rock Revolution,Rock Revolution,2008.0
PS3,"Nov 11, 2008",Rock Revolution,Rock Revolution,2008.0
X360,"May 22, 2009",Rock Revolution,Rock Revolution,2009.0
Wii,"Mar 09, 2012",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012.0
PC,"Mar 06, 2012",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012.0
PS3,"Nov 11, 2011",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2011.0
X360,"Mar 22, 2012",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012.0
PSP,"Mar 06, 2012",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012.0
PSV,"Nov 11, 2011",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2011.0
PS2,"Nov 30, 2005",College Hoops 2K6,College Hoops 2K6,2005.0
XB,"Nov 23, 2005",College Hoops 2K6,College Hoops 2K6,2005.0
X360,"Nov 21, 2005",College Hoops 2K6,College Hoops 2K6,2005.0
PC,"Aug 26, 2011",Rugby Challenge,Jonah Lomu Rugby Challenge,2011.0
PS3,"Aug 26, 2011",Rugby Challenge,Jonah Lomu Rugby Challenge,2011.0
X360,"Jun 27, 2012",Rugby Challenge,Jonah Lomu Rugby Challenge,2012.0
PSV,"Aug 26, 2013",Rugby Challenge,Jonah Lomu Rugby Challenge,2013.0
PS2,"Jan 10, 2006",Mega Man X Collection,Mega Man X Collection,2006.0
GC,"Jan 10, 2006",Mega Man X Collection,Mega Man X Collection,2006.0
PC,"Feb 09, 2010",BioShock 2,BioShock 2,2010.0
PS3,"Feb 09, 2010",BioShock 2,BioShock 2,2010.0
X360,"Mar 04, 2010",BioShock 2,BioShock 2,2010.0
PC,"Jun 25, 2010",Singularity,Singularity,2010.0
PS3,"Jul 01, 2010",Singularity,Singularity,2010.0
X360,"Jun 25, 2010",Singularity,Singularity,2010.0
PC,"Nov 25, 2010",Danganronpa: Trigger Happy Havoc,Danganronpa: Trigger Happy Havoc,2010.0
PSP,"Feb 16, 2014",Danganronpa: Trigger Happy Havoc,Danganronpa: Trigger Happy Havoc,2014.0
PSV,"Mar 18, 2016",Danganronpa: Trigger Happy Havoc,Danganronpa: Trigger Happy Havoc,2016.0
Wii,"Nov 14, 2006",Tony Hawk's Downhill Jam,Tony Hawk's Downhill Jam,2006.0
PS2,"May 08, 2007",Tony Hawk's Downhill Jam,Tony Hawk's Downhill Jam,2007.0
